date, time, channel, user, function
2022/01/30, 23:22:28+09:00:00, C01M3H3E24B, U01SZGC6DMF, invite_action
2022/01/30, 23:22:28+09:00:00, C01M3H3E24B, U01SZGC6DMF, invite_action
2022/01/30, 23:22:28+09:00:00, C01M3H3E24B, U01SZGC6DMF, invite_action
2022/01/31, 00:13:05+09:00:00, C01M3H3E24B, U01S67Y4M2T, invite_action
2022/01/31, 04:17:59+09:00:00, C01M3H3E24B, W015UV121DJ, invite_action
2022/01/31, 05:03:10+09:00:00, C01M3H3E24B, W015G257UBY, invite_action
2022/02/01, 16:30:38+09:00:00, C01M3H3E24B, W0161CQSN8Z, invite_action
2022/02/01, 16:30:38+09:00:00, C01M3H3E24B, W0161CQSN8Z, invite_action
2022/02/02, 06:07:11+09:00:00, C01M3H3E24B, W015G2494NS, invite_action
2022/05/24, 02:15:02+09:00:00, C03GCFW399C, W015NPNB2R0, update_conversation
2022/05/24, 03:02:33+09:00:00, C03GCFW399C, W015NPNB2R0, issue_url
2022/05/26, 04:00:10+09:00:00, C03GCFW399C, W015G24EFLN, invite_action
2022/05/26, 04:00:10+09:00:00, C03GCFW399C, W015G24EFLN, invite_action
2022/06/08, 22:11:28+09:00:00, C023H9NR3CJ, W015NPKMPRQ, invite_action
2022/06/09, 07:16:30+09:00:00, C03JX94F7PC, W015P0BU1S7, make
2022/06/09, 07:22:07+09:00:00, C037F1URK62, W015P0BU1S7, make
2022/06/09, 07:27:41+09:00:00, C023H9NR3CJ, W015P0BU1S7, make
2022/06/09, 07:28:28+09:00:00, C03KA11PVH7, U01SZHA874Z, invite_action
2022/06/15, 10:47:18+09:00:00, C023H9NR3CJ, W015P0BU1S7, make
2022/06/15, 22:55:36+09:00:00, C03KA11PVH7, W015P0ADDPV, invite_action
2022/06/15, 22:55:36+09:00:00, C03KA11PVH7, W015P0ADDPV, invite_action
2022/06/16, 02:49:47+09:00:00, C02DT3R0F2S, W016CJS1GRW, make
2022/06/16, 03:24:47+09:00:00, C03KA11PVH7, W015G24EFLN, invite_action
2022/06/16, 05:17:47+09:00:00, C023H9NR3CJ, W015P0ADDPV, make_url
